userid,category,placeid,local_datetime,latitude,longitude,country_name,state_name,h3_cell
5144,Travel,592233,2010-07-09 01:59:28+00:00,40.7478105501,-73.9862982274,United States,New_York,8a2a100d2c67fff
5144,Travel,935170,2010-07-08 21:59:29+00:00,40.78229314,-73.98103916,United States,New_York,8a2a1008b8e7fff
29631,Travel,935170,2010-07-07 22:23:41+00:00,40.78229314,-73.98103916,United States,New_York,8a2a1008b8e7fff
34240,Travel,185769,2010-07-21 07:50:09+00:00,40.7561783597,-73.971465525,United States,New_York,8a2a100d63a7fff
34240,Travel,23207,2010-07-21 07:41:10+00:00,40.7525295532,-73.9732598805,United States,New_York,8a2a100d62affff
1673384,Travel,23207,2010-10-16 06:34:17+00:00,40.7525295532,-73.9732598805,United States,New_York,8a2a100d62affff
34240,Travel,138808,2010-07-21 07:39:11+00:00,40.7527611474,-73.9729981144,United States,New_York,8a2a100d62affff
1673384,Travel,138808,2010-10-30 20:43:20+00:00,40.7527611474,-73.9729981144,United States,New_York,8a2a100d62affff
1673384,Travel,138808,2010-10-30 05:08:07+00:00,40.7527611474,-73.9729981144,United States,New_York,8a2a100d62affff
1673384,Travel,138808,2010-10-27 05:29:35+00:00,40.7527611474,-73.9729981144,United States,New_York,8a2a100d62affff
1673384,Travel,138808,2010-10-16 05:04:48+00:00,40.7527611474,-73.9729981144,United States,New_York,8a2a100d62affff
34240,Travel,69725,2010-07-21 07:32:59+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
29631,Travel,69725,2010-02-18 16:03:29+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
55516,Travel,69725,2010-06-06 21:40:05+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
55516,Travel,69725,2010-06-05 22:25:16+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
55516,Travel,69725,2010-06-04 19:48:11+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-09 07:52:55+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-07 15:49:41+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-07 05:42:38+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-06 22:55:05+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-06 05:13:42+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-05 06:45:31+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-04 07:14:14+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
5950,Travel,69725,2010-01-03 10:58:37+00:00,40.7547944333,-73.9773726167,United States,New_York,8a2a100d674ffff
34240,Travel,54916,2010-07-21 07:30:11+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
34240,Travel,54916,2010-07-21 06:58:43+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
262495,Travel,54916,2010-07-06 21:08:10+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-19 20:38:18+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-19 05:38:20+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-18 22:03:04+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-18 03:44:41+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-17 21:18:59+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-17 04:10:28+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-16 03:51:45+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
3809,Travel,54916,2010-11-15 23:14:17+00:00,40.7558315826,-73.973017931,United States,New_York,8a2a100d6387fff
